"Date","County","Doses_Allocated_1","Doses_Allocated_2","Doses_Administered","At_Least_One_Vaccinated","Fully_Vaccinated","Population_Over_16","Population_Over_65","Population_Phase_1A_Healthcare","Population_Phase1A_Care_Residents","Population_Phase_1B_Medical_Condition"
2021-01-03,"Nacogdoches",300,NA,985,NA,NA,"51773","9953","2530","755","19948"
2021-01-03,"Newton",200,NA,32,NA,NA,"11298","2878","55","113","4648"
2021-01-03,"Nolan",500,NA,112,NA,NA,"11321","2737","519","251","4249"
2021-01-03,"Nueces",2200,5850,4352,NA,NA,"284366","54069","25582","4100","113767"
2021-01-03,"Ochiltree",100,NA,185,NA,NA,"7106","1148","200","114","2812"
2021-01-03,"Orange",400,NA,229,NA,NA,"65087","13729","1456","548","26244"
2021-01-03,"Palo Pinto",100,NA,139,NA,NA,"23207","5893","864","283","8796"
2021-01-03,"Panola",100,NA,79,NA,NA,"18462","4589","473","377","7117"
2021-01-03,"Parker",300,NA,1194,NA,NA,"111686","22331","2890","1301","40567"
2021-01-03,"Parmer",300,NA,86,NA,NA,"7222","1366","161","174","2910"
2021-01-03,"Polk",100,NA,305,NA,NA,"42276","9733","1184","574","17118"
2021-01-03,"Potter",2000,1950,4040,NA,NA,"88673","15203","10224","1770","35559"
2021-01-03,"Presidio",100,NA,22,NA,NA,"5069","1601","27","0","2039"
2021-01-03,"Randall",900,NA,6119,NA,NA,"108431","21424","2812","869","34803"
2021-01-03,"Reeves",300,NA,97,NA,NA,"12781","1878","281","89","5277"
2021-01-03,"Robertson",100,NA,132,NA,NA,"13474","3412","252","252","4991"
