District,Date,LEA,District_Total_Enrollment,Campus,Campus_ID,Cases_Student_New,Cases_Staff_New,Case_Source_Campus,Case_Source_OffCampus,Case_Source_Unknown
EVOLUTION ACADEMY CHARTER SCHOOL,2021-09-12,057834,715,NA,NA,NA,NA,NA,NA,NA
GOLDEN RULE CHARTER SCHOOL,2021-09-12,057835,1480,NA,NA,NA,NA,NA,NA,NA
ST ANTHONY SCHOOL,2021-09-12,057836,323,NA,NA,NA,NA,NA,NA,NA
LA ACADEMIA DE ESTRELLAS,2021-09-12,057839,996,NA,NA,NA,NA,NA,NA,NA
RICHLAND COLLEGIATE HIGH SCHOOL,2021-09-12,057840,485,NA,NA,NA,NA,NA,NA,NA
CITYSCAPE SCHOOLS,2021-09-12,057841,1183,NA,NA,NA,NA,NA,NA,NA
MANARA ACADEMY,2021-09-12,057844,626,NA,NA,NA,NA,NA,NA,NA
UME PREPARATORY ACADEMY,2021-09-12,057845,1250,NA,NA,9,1,0,0,10
LEGACY PREPARATORY,2021-09-12,057846,1535,NA,NA,5,0,5,0,0
VILLAGE TECH SCHOOLS,2021-09-12,057847,1188,NA,NA,NA,NA,NA,NA,NA
INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS),2021-09-12,057848,20761,NA,NA,115,7,0,0,122
PIONEER TECHNOLOGY & ARTS ACADEMY,2021-09-12,057850,1544,NA,NA,NA,NA,NA,NA,NA
BRIDGEWAY PREPARATORY ACADEMY,2021-09-12,057851,105,NA,NA,NA,NA,NA,NA,NA
CARROLLTON-FARMERS BRANCH ISD,2021-09-12,057903,24938,NA,NA,94,18,6,31,75
CEDAR HILL ISD,2021-09-12,057904,7301,NA,NA,44,3,0,1,46
DALLAS ISD,2021-09-12,057905,144828,NA,NA,15,2,0,0,17
DESOTO ISD,2021-09-12,057906,7998,NA,NA,NA,NA,NA,NA,NA
DUNCANVILLE ISD,2021-09-12,057907,11784,NA,NA,40,12,0,52,0
GARLAND ISD,2021-09-12,057909,53816,NA,NA,65,13,1,77,0
GRAND PRAIRIE ISD,2021-09-12,057910,28147,NA,NA,52,33,0,8,77
HIGHLAND PARK ISD,2021-09-12,057911,6618,NA,NA,NA,NA,NA,NA,NA
IRVING ISD,2021-09-12,057912,32690,NA,NA,125,18,8,12,123
LANCASTER ISD,2021-09-12,057913,7227,NA,NA,23,0,0,0,23
MESQUITE ISD,2021-09-12,057914,38451,NA,NA,204,32,12,76,148
RICHARDSON ISD,2021-09-12,057916,37528,NA,NA,151,28,0,0,179
SUNNYVALE ISD,2021-09-12,057919,2037,NA,NA,NA,1,NA,NA,NA
COPPELL ISD,2021-09-12,057922,13022,NA,NA,36,6,4,14,24
DAWSON ISD,2021-09-12,058902,147,NA,NA,NA,NA,NA,NA,NA
