County,Date,cases_cumulative,deaths_cumulative
Travis,2022-02-12,0,0
Travis,2022-02-13,0,0
Travis,2022-02-14,185749,1321
Travis,2022-02-15,186379,1322
Travis,2022-02-16,187078,1329
Travis,2022-02-17,188710,1334
Travis,2022-02-18,189146,1336
Travis,2022-02-19,0,0
Travis,2022-02-20,0,0
Travis,2022-02-21,0,0
Travis,2022-02-22,197471,1343
Travis,2022-02-23,197996,1345
Travis,2022-02-24,198532,1347
Travis,2022-02-25,198889,1350
Travis,2022-02-26,0,0
Travis,2022-02-27,0,0
Travis,2022-02-28,199845,1350
Travis,2022-03-01,200385,1353
Travis,2022-03-02,200676,1354
Travis,2022-03-03,223897,1432
Travis,2022-03-04,224526,1433
Travis,2022-03-05,0,0
Travis,2022-03-06,0,0
Travis,2022-03-07,224976,1433
Travis,2022-03-08,225419,1441
Travis,2022-03-09,225793,1443
Travis,2022-03-10,232621,1443
Travis,2022-03-11,232833,1444
Travis,2022-03-12,0,0
Travis,2022-03-13,0,0
Travis,2022-03-14,233114,1446
Travis,2022-03-15,233410,1448
Travis,2022-03-16,233673,1451
Travis,2022-03-17,234189,1451
Travis,2022-03-18,234340,1452
Travis,2022-03-19,0,0
Travis,2022-03-20,0,0
Travis,2022-03-21,234833,1455
Travis,2022-03-22,235154,1455
Travis,2022-03-23,235413,1458
Travis,2022-03-24,235697,1458
Travis,2022-03-25,235958,1459
Travis,2022-03-26,0,0
Travis,2022-03-27,0,0
Travis,2022-03-28,236279,1461
Travis,2022-03-29,236692,1467
Travis,2022-03-30,236954,1478
Travis,2022-03-31,237325,1479
Travis,2022-04-01,237692,1483
Travis,2022-04-02,0,0
Travis,2022-04-03,0,0
Travis,2022-04-04,238172,1490
Travis,2022-04-05,238678,1492
Travis,2022-04-06,239027,1497
Travis,2022-04-07,239316,1499
Travis,2022-04-08,239713,1499
Travis,2022-04-09,0,0
Travis,2022-04-10,0,0
Travis,2022-04-11,240208,1499
Travis,2022-04-12,240690,1501
Travis,2022-04-13,241169,1501
Travis,2022-04-14,241602,1501
Travis,2022-04-15,242271,1504
Travis,2022-04-16,0,0
Travis,2022-04-17,0,0
Travis,2022-04-18,242736,1519
Travis,2022-04-19,243304,1520
Travis,2022-04-20,243842,1521
Travis,2022-04-21,244255,1523
Travis,2022-04-22,244825,1525
Travis,2022-04-23,0,0
Travis,2022-04-24,0,0
Travis,2022-04-25,245316,1526
Travis,2022-04-26,245804,1527
Travis,2022-04-27,246242,1533
Travis,2022-04-28,246765,1533
Travis,2022-04-29,247244,1533
Travis,2022-04-30,0,0
Travis,2022-05-01,0,0
Travis,2022-05-02,247690,1534
Travis,2022-05-03,248367,1534
Travis,2022-05-04,248828,1534
Travis,2022-05-05,249279,1534
Travis,2022-05-06,249712,1534
Travis,2022-05-07,0,0
Travis,2022-05-08,0,0
Travis,2022-05-09,249952,1534
Travis,2022-05-10,250550,1534
Travis,2022-05-11,250932,1534
Travis,2022-05-12,251366,1535
Travis,2022-05-13,251737,1535
Travis,2022-05-14,0,0
Travis,2022-05-15,0,0
Travis,2022-05-16,252141,1536
Travis,2022-05-17,252618,1536
Travis,2022-05-18,252934,1541
Travis,2022-05-19,253407,1542
Travis,2022-05-20,253893,1542
Travis,2022-05-21,0,0
Travis,2022-05-22,0,0
Travis,2022-05-23,254296,1543
Travis,2022-05-24,255506,1544
Travis,2022-05-25,256056,1545
Travis,2022-05-26,256540,1546
Travis,2022-05-27,256959,1546
Travis,2022-05-28,0,0
Travis,2022-05-29,0,0
Travis,2022-05-30,0,0
Travis,2022-05-31,257416,1548
Travis,2022-06-01,258547,1548
Travis,2022-06-02,259219,1548
Travis,2022-06-03,259774,1549
Travis,2022-06-04,0,0
Travis,2022-06-05,0,0
Travis,2022-06-06,260297,1549
Travis,2022-06-07,261183,1550
Travis,2022-06-08,261778,1552
Travis,2022-06-09,262305,1553
Travis,2022-06-10,262871,1553
Travis,2022-06-11,0,0
Travis,2022-06-12,0,0
Travis,2022-06-13,263209,1553
Travis,2022-06-14,264321,1553
Travis,2022-06-15,264836,1553
Travis,2022-06-16,265368,1553
Travis,2022-06-17,265966,1553
Travis,2022-06-18,0,0
Travis,2022-06-19,0,0
Travis,2022-06-20,0,0
Travis,2022-06-21,266579,1555
Travis,2022-06-22,268133,1555
Travis,2022-06-23,268767,1556
Travis,2022-06-24,269490,1556
Travis,2022-06-25,0,0
Travis,2022-06-26,0,0
Travis,2022-06-27,270203,1558
Travis,2022-06-28,271292,1558
Travis,2022-06-29,271845,1558
Travis,2022-06-30,272311,1558
Travis,2022-07-01,273077,1559
Travis,2022-07-02,0,0
Travis,2022-07-03,0,0
Travis,2022-07-04,0,0
Travis,2022-07-05,274119,1560
Travis,2022-07-06,275599,1561
Travis,2022-07-07,276680,1561
Travis,2022-07-08,277278,1563
Travis,2022-07-09,0,0
Travis,2022-07-10,0,0
Travis,2022-07-11,278165,1563
Travis,2022-07-12,279654,1565
Travis,2022-07-13,280363,1565
Travis,2022-07-14,281009,1565
Travis,2022-07-15,281794,1565
Travis,2022-07-16,0,0
Travis,2022-07-17,0,0
Travis,2022-07-18,282461,1566
Travis,2022-07-19,283855,1566
Travis,2022-07-20,284464,1566
Travis,2022-07-21,285045,1566
